result_id,det_index,matched,matched_track_id,e,n,lat,lon,utc,range,direction
1,62,0,-1,651966.718312,4350375.243956,39.273769300797,118.760811970570,40207.246093750000,15980.430712817515,-50.491522863801
1,63,0,-1,651943.162918,4350303.074948,39.273123977546,118.760539055581,40207.246093750000,16045.331165479558,-50.632405760716
1,64,0,-1,653149.452423,4351312.670590,39.281997067472,118.775069767118,40207.246093750000,14436.181697879243,-50.844609492945
1,65,0,-1,651995.287186,4350432.016277,39.274275149065,118.761142972196,40207.246093750000,15921.807527043451,-50.402662102699
1,66,0,-1,651961.451627,4350311.767735,39.273198995640,118.760750950265,40207.246093750000,16025.791660428433,-50.650475026165
1,67,0,-1,654738.851581,4348760.204095,39.258724861995,118.792930108585,40204.175781250000,15276.719912927090,-61.581776208074
1,68,0,-1,654744.320850,4348744.327803,39.258581028419,118.792993475824,40204.175781250000,15285.798714408782,-61.633514891037
1,69,0,-1,655472.797455,4349813.002606,39.268078151545,118.801433640099,40204.175781250000,14025.712842362644,-61.115199155681
1,70,0,-1,654079.261645,4350952.235542,39.278578086383,118.785845969710,40204.175781250000,14090.758418739497,-53.929180124957
1,71,0,-1,654639.362977,4348551.538345,39.256864916166,118.791777428321,40204.175781250000,15502.267219030105,-61.769674712141
1,72,0,-1,654419.864143,4347893.237335,39.250991125095,118.788675786345,40204.175781250000,16185.579541347139,-62.458144120100
1,73,0,-1,655002.338729,4349702.701162,39.267169720139,118.795982884026,40204.304687500000,14406.113392364765,-59.955733562937
1,74,0,-1,654999.792190,4349726.720751,39.267386308693,118.795953379702,40204.304687500000,14389.335043869336,-59.885870973011
1,75,0,-1,654528.747754,4349733.790774,39.267533914129,118.790495834282,40204.304687500000,14691.290930639587,-58.459249361071
1,76,0,-1,654523.936824,4349759.489004,39.267766009217,118.790440094581,40204.304687500000,14675.217424985432,-58.378721430756
1,77,0,-1,653482.353110,4348488.708112,39.256504913132,118.778372239658,40204.304687500000,16286.049802994790,-58.723837229139
1,78,0,-1,654974.239988,4349821.463602,39.268243442810,118.795657330641,40204.304687500000,14333.404584200754,-59.563093308309
1,79,0,-1,654179.177708,4349394.520885,39.264543248641,118.786445695370,40204.304687500000,15176.148582377684,-58.314049784600
1,80,0,-1,653477.556655,4348476.224824,39.256393433728,118.778316667595,40204.304687500000,16298.607970747129,-58.739700343486
1,81,0,-1,655093.044712,4350264.151818,39.272216635788,118.797033807901,40204.304687500000,13919.388964560465,-58.755573703117
1,82,0,-1,653417.872268,4348262.584936,39.254481603877,118.777625160020,40204.304687500000,16498.124646272056,-59.068618348252
1,83,0,-1,653484.704144,4348215.669591,39.254058233602,118.777844346967,40204.304687500000,16521.143574388327,-59.223236755588
1,84,0,-1,657085.579946,4348270.671500,39.253909454700,118.819551222383,40205.070312500000,14373.956366824399,-70.184424227141
1,85,0,-1,657900.302645,4348143.104357,39.252613862871,118.828987660480,40205.070312500000,14101.950183434548,-73.318188442876
1,86,0,-1,657586.067556,4347559.837146,39.247411462792,118.825348067520,40205.070312500000,14765.366537136884,-73.242713145000
1,87,0,-1,658611.373807,4347517.521826,39.246844091304,118.837223557608,40205.328125000000,14370.461545431994,-77.034085412704
1,88,0,-1,658613.342211,4347534.142583,39.246993289302,118.837246356403,40205.328125000000,14354.381563477129,-77.016273986896
1,89,0,-1,659778.081071,4347384.293769,39.245431404192,118.850736789091,40205.457031250000,14083.767414735425,-81.647260918701
1,90,0,-1,659639.684698,4347370.912002,39.245336437152,118.849133832622,40205.457031250000,14140.415804015349,-81.131545777872
1,91,0,-1,659792.959912,4347556.212728,39.246975687291,118.850909121160,40205.457031250000,13915.894213349897,-81.483406388060
1,92,0,-1,659841.735884,4347558.476875,39.246987086688,118.851474061894,40205.457031250000,13898.405136077148,-81.669342920288
1,93,0,-1,659816.240669,4347482.913393,39.246311840019,118.851178767205,40205.457031250000,13978.151801872544,-81.669342920288
1,94,0,-1,659588.629151,4347331.444778,39.244990683364,118.848542488872,40205.457031250000,14194.262697730344,-80.987456107141
